============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Feb 14 2024  05:48:11 pm
  Module:                 picorv32
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
------------------------------------------------
OAI32X1             4      9.576    slow_vdd1v0 
OR2X1             101    138.168    slow_vdd1v0 
OR2X2               4      6.840    slow_vdd1v0 
OR2X4               4     10.944    slow_vdd1v0 
OR2X6              28    105.336    slow_vdd1v0 
OR2X8               1      4.446    slow_vdd1v0 
OR3X1              33     67.716    slow_vdd1v0 
OR3X2               2      4.788    slow_vdd1v0 
OR3X4               2      6.156    slow_vdd1v0 
OR4X1              95    194.940    slow_vdd1v0 
SDFFHQX4           26    240.084    slow_vdd1v0 
SDFFHQX8            4     45.144    slow_vdd1v0 
SDFFQX1          1815  13656.060    slow_vdd1v0 
SDFFQX2            92    755.136    slow_vdd1v0 
SDFFTRX1            1     10.944    slow_vdd1v0 
SEDFFX1            23    275.310    slow_vdd1v0 
XNOR2X1           693   1659.042    slow_vdd1v0 
XOR2X1             16     43.776    slow_vdd1v0 
------------------------------------------------
total           10401  34341.246                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential          1961 14982.678   43.6 
inverter             437   359.784    1.0 
buffer                 7    15.048    0.0 
logic               7996 18983.736   55.3 
physical_cells         0     0.000    0.0 
------------------------------------------
total              10401 34341.246  100.0 

